"filename", "language", "Batch", "Markdown", "HTML", "PHP", "PostCSS", "comment", "blank", "total"
"d:\Workspace\ShareVidHosting\README.md", "Markdown", 0, 66, 0, 0, 0, 0, 5, 71
"d:\Workspace\ShareVidHosting\RULES.md", "Markdown", 0, 20, 0, 0, 0, 0, 2, 22
"d:\Workspace\ShareVidHosting\TODO.md", "Markdown", 0, 41, 0, 0, 0, 0, 1, 42
"d:\Workspace\ShareVidHosting\push.bat", "Batch", 4, 0, 0, 0, 0, 0, 1, 5
"d:\Workspace\ShareVidHosting\src\auth.php", "PHP", 0, 0, 0, 6, 0, 0, 1, 7
"d:\Workspace\ShareVidHosting\src\comment.php", "PHP", 0, 0, 0, 31, 0, 4, 5, 40
"d:\Workspace\ShareVidHosting\src\customize.php", "PHP", 0, 0, 0, 137, 0, 10, 23, 170
"d:\Workspace\ShareVidHosting\src\db.php", "PHP", 0, 0, 0, 11, 0, 7, 4, 22
"d:\Workspace\ShareVidHosting\src\index.php", "PHP", 0, 0, 0, 363, 0, 6, 32, 401
"d:\Workspace\ShareVidHosting\src\login.php", "PHP", 0, 0, 0, 82, 0, 7, 14, 103
"d:\Workspace\ShareVidHosting\src\logout.php", "PHP", 0, 0, 0, 6, 0, 0, 0, 6
"d:\Workspace\ShareVidHosting\src\profile.php", "PHP", 0, 0, 0, 166, 0, 7, 13, 186
"d:\Workspace\ShareVidHosting\src\register.php", "PHP", 0, 0, 0, 99, 0, 4, 12, 115
"d:\Workspace\ShareVidHosting\src\search.php", "PHP", 0, 0, 0, 112, 0, 3, 17, 132
"d:\Workspace\ShareVidHosting\src\styles.css", "PostCSS", 0, 0, 0, 0, 638, 22, 124, 784
"d:\Workspace\ShareVidHosting\src\tos.html", "HTML", 0, 0, 81, 0, 0, 11, 13, 105
"d:\Workspace\ShareVidHosting\src\upload.php", "PHP", 0, 0, 0, 132, 0, 4, 22, 158
"d:\Workspace\ShareVidHosting\src\video.php", "PHP", 0, 0, 0, 263, 0, 7, 14, 284
"Total", "-", 4, 127, 81, 1408, 638, 92, 303, 2653